iter	Passed	Remaining
0	1	125
1	2	111
2	3	102
3	3	93
4	4	89
5	5	85
6	6	82
7	6	80
8	7	78
9	8	76
10	9	74
11	9	73
12	10	71
13	11	70
14	12	68
15	12	67
16	13	66
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	61
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	54
32	26	53
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	35	42
45	35	42
46	36	41
47	37	40
48	38	39
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	42	35
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	62	19
76	63	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	10
88	74	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
