iter	Passed	Remaining
0	2	2128
1	4	2278
2	6	2009
3	7	1772
4	8	1636
5	9	1543
6	10	1460
7	11	1406
8	12	1368
9	13	1336
10	14	1340
11	16	1364
12	17	1344
13	19	1344
14	20	1324
15	21	1305
16	22	1291
17	23	1273
18	24	1259
19	25	1246
20	26	1236
21	27	1227
22	28	1227
23	30	1249
24	31	1242
25	33	1246
26	34	1234
27	35	1227
28	36	1219
29	37	1209
30	38	1202
31	39	1195
32	40	1188
33	41	1181
34	42	1180
35	44	1189
36	46	1200
37	47	1196
38	48	1200
39	49	1195
40	50	1189
41	51	1183
42	52	1178
43	53	1172
44	54	1167
45	56	1162
46	57	1157
47	58	1155
48	60	1166
49	61	1169
50	63	1179
51	64	1177
52	65	1171
53	66	1170
54	68	1169
55	69	1168
56	70	1167
57	71	1166
58	73	1164
59	74	1170
60	77	1190
61	78	1190
62	79	1187
63	81	1185
64	82	1183
65	83	1179
66	84	1175
67	85	1172
68	86	1169
69	88	1169
70	90	1178
71	91	1182
72	92	1179
73	93	1175
74	95	1171
75	96	1169
76	97	1167
77	98	1163
78	99	1159
79	100	1155
80	101	1155
81	104	1167
82	104	1158
83	106	1160
84	107	1157
85	108	1154
86	109	1152
87	111	1150
88	112	1147
89	113	1143
90	114	1139
91	115	1136
92	116	1137
93	118	1140
94	119	1138
95	121	1140
96	122	1137
97	123	1134
98	124	1132
99	125	1128
100	126	1124
101	127	1120
102	128	1116
103	129	1113
104	130	1111
105	131	1112
106	133	1110
107	134	1113
108	135	1110
109	136	1107
110	138	1105
111	139	1102
112	140	1099
113	141	1096
114	142	1093
115	143	1089
116	143	1085
117	145	1084
118	146	1086
119	147	1084
120	149	1085
121	150	1080
122	151	1078
123	152	1075
124	153	1073
125	154	1070
126	155	1066
127	156	1063
128	157	1061
129	158	1058
130	159	1057
131	161	1059
132	162	1060
133	163	1058
134	165	1057
135	166	1055
136	167	1053
137	168	1051
138	169	1050
139	170	1047
140	171	1045
141	172	1039
142	173	1037
143	174	1039
144	176	1038
145	177	1039
146	178	1037
147	179	1035
148	180	1033
149	182	1031
150	183	1029
151	184	1026
152	184	1023
153	185	1020
154	186	1018
155	188	1019
156	189	1020
157	191	1019
158	192	1019
159	193	1017
160	194	1013
161	196	1014
162	197	1012
163	198	1010
164	199	1009
165	200	1007
166	201	1006
167	203	1007
168	204	1005
169	206	1006
170	207	1004
171	208	1003
172	209	1002
173	211	1002
174	212	1001
175	213	999
176	214	997
177	215	996
178	217	998
179	219	998
180	220	999
181	224	1008
182	226	1009
183	227	1007
184	228	1005
185	229	1004
186	231	1006
187	233	1008
188	235	1010
189	236	1009
190	238	1008
191	239	1007
192	240	1005
193	241	1003
194	242	1002
195	243	1000
196	245	999
197	246	999
198	248	999
199	249	999
200	251	998
201	252	997
202	253	996
203	254	994
204	255	992
205	257	990
206	258	989
207	259	989
208	262	992
209	264	995
210	266	995
211	267	994
212	268	993
213	269	991
214	270	988
215	271	986
216	272	984
217	274	983
218	275	983
219	277	984
220	278	982
221	279	980
222	325	1132
223	327	1133
224	328	1132
225	330	1130
226	331	1129
227	333	1127
228	334	1126
229	336	1124
230	338	1126
231	340	1127
232	342	1126
233	343	1124
234	345	1123
235	346	1121
236	348	1120
237	350	1120
238	357	1139
239	359	1139
240	361	1137
241	362	1135
242	364	1134
243	367	1137
244	369	1137
245	371	1138
246	373	1138
247	374	1136
248	384	1159
249	386	1159
250	387	1157
251	389	1157
252	391	1156
253	393	1156
254	399	1166
255	400	1165
256	403	1165
257	404	1164
258	405	1161
259	406	1158
260	408	1155
261	409	1154
262	411	1153
263	413	1151
264	414	1149
265	415	1147
266	417	1144
267	418	1141
268	419	1139
269	420	1137
270	423	1138
271	425	1138
272	427	1139
273	429	1137
274	430	1136
275	432	1133
276	433	1131
277	435	1130
278	437	1131
279	440	1132
280	441	1130
281	443	1129
282	445	1128
283	446	1126
284	447	1123
285	448	1120
286	452	1124
287	455	1127
288	457	1124
289	458	1122
290	459	1119
291	460	1116
292	462	1116
293	463	1113
294	466	1114
295	467	1112
296	469	1111
297	471	1110
298	472	1108
299	474	1106
300	475	1104
301	476	1102
302	478	1101
303	480	1100
304	482	1099
305	483	1097
306	484	1094
307	486	1093
308	487	1090
309	489	1088
310	490	1085
311	491	1083
312	493	1082
313	494	1080
314	496	1079
315	498	1077
316	499	1075
317	500	1073
318	501	1071
319	503	1069
320	504	1067
321	506	1065
322	507	1064
323	509	1062
324	510	1061
325	512	1058
326	513	1056
327	514	1054
328	515	1051
329	516	1049
330	517	1046
331	519	1044
332	520	1042
333	521	1040
334	523	1040
335	525	1039
336	527	1037
337	528	1034
338	530	1033
339	531	1031
340	533	1030
341	534	1027
342	536	1027
343	538	1026
344	539	1025
345	541	1022
346	542	1020
347	543	1018
348	545	1016
349	546	1014
350	547	1011
351	549	1010
352	550	1009
353	552	1008
354	555	1008
355	556	1006
356	557	1004
357	559	1002
358	561	1001
359	562	999
360	563	997
361	564	995
362	567	995
363	568	994
364	570	992
365	571	990
366	575	993
367	577	991
368	578	988
369	580	988
370	582	986
371	583	985
372	584	982
373	586	981
374	587	979
375	588	976
376	589	974
377	590	971
378	592	970
379	593	968
380	595	967
381	596	965
382	598	964
383	599	962
384	600	959
385	602	957
386	603	955
387	604	953
388	605	951
389	606	949
390	608	947
391	609	945
392	612	945
393	613	943
394	614	941
395	615	939
396	617	937
397	618	935
398	619	933
399	620	931
400	621	928
401	623	926
402	624	924
403	626	923
404	627	921
405	628	919
406	630	918
407	631	915
408	632	913
409	633	911
410	634	909
411	636	908
412	637	906
413	640	906
414	642	905
415	643	903
416	645	901
417	646	900
418	648	899
419	650	898
420	651	896
421	656	899
422	658	897
423	659	896
424	661	894
425	662	892
426	663	890
427	664	888
428	666	886
429	667	884
430	669	883
431	671	882
432	672	880
433	673	878
434	674	875
435	675	873
436	676	871
437	677	869
438	678	867
439	681	867
440	685	868
441	687	867
442	688	865
443	689	863
444	690	861
445	691	859
446	692	857
447	693	854
448	694	852
449	695	850
450	697	848
451	698	846
452	699	844
453	700	842
454	701	840
455	702	838
456	703	836
457	704	833
458	705	831
459	706	829
460	707	827
461	709	825
462	710	824
463	712	823
464	714	822
465	715	820
466	716	818
467	717	816
468	718	814
469	719	811
470	721	809
471	722	807
472	723	805
473	724	803
474	725	801
475	726	800
476	728	798
477	729	796
478	730	794
479	731	792
480	732	790
481	733	788
482	734	786
483	737	786
484	738	784
485	739	782
486	741	780
487	742	779
488	743	777
489	744	775
490	745	773
491	746	771
492	748	769
493	749	767
494	750	765
495	751	763
496	752	761
497	752	759
498	753	756
499	754	754
500	756	753
501	757	751
502	758	749
503	759	747
504	760	745
505	761	743
506	763	741
507	763	739
508	764	737
509	765	735
510	766	733
511	767	731
512	768	729
513	769	727
514	771	726
515	772	724
516	773	723
517	774	721
518	776	719
519	777	717
520	778	715
521	779	713
522	780	711
523	781	709
524	782	707
525	783	706
526	784	704
527	786	702
528	787	701
529	788	699
530	789	697
531	790	695
532	791	693
533	792	692
534	794	690
535	795	688
536	795	686
537	796	684
538	797	682
539	798	680
540	800	679
541	801	677
542	802	675
543	804	673
544	805	672
545	806	670
546	807	668
547	808	666
548	809	665
549	810	663
550	811	661
551	812	659
552	813	657
553	814	656
554	816	654
555	817	652
556	818	650
557	819	649
558	820	647
559	821	645
560	822	643
561	823	641
562	824	640
563	825	638
564	826	636
565	827	634
566	829	633
567	831	632
568	832	630
569	833	628
570	834	627
571	835	625
572	836	623
573	837	621
574	838	619
575	839	618
576	840	616
577	841	614
578	842	612
579	843	611
580	845	609
581	846	608
582	848	606
583	849	605
584	850	603
585	852	601
586	853	600
587	854	598
588	855	596
589	855	594
590	856	593
591	858	591
592	859	590
593	861	588
594	862	587
595	863	585
596	865	584
597	866	582
598	867	580
599	868	578
600	869	577
601	870	575
602	872	574
603	873	572
604	875	571
605	876	569
606	878	568
607	879	567
608	880	565
609	881	563
610	882	562
611	884	560
612	885	559
613	887	557
614	890	557
615	895	558
616	897	557
617	900	556
618	903	556
619	908	556
620	911	556
621	913	554
622	914	553
623	915	551
624	916	550
625	917	548
626	919	546
627	920	545
628	922	544
629	923	542
630	924	540
631	925	539
632	927	537
633	929	536
634	930	534
635	931	533
636	932	531
637	934	529
638	935	528
639	937	527
640	938	525
641	939	523
642	940	522
643	941	520
644	943	519
645	944	517
646	945	515
647	946	514
648	948	512
649	950	511
650	951	509
651	952	508
652	954	507
653	955	505
654	957	504
655	958	502
656	960	501
657	962	500
658	963	498
659	965	497
660	967	495
661	969	494
662	971	493
663	972	492
664	973	490
665	975	488
666	976	487
667	977	485
668	979	484
669	981	483
670	983	482
671	984	480
672	986	479
673	987	477
674	988	475
675	989	474
676	990	472
677	992	471
678	994	470
679	996	468
680	997	467
681	999	465
682	1000	464
683	1001	462
684	1002	461
685	1003	459
686	1005	457
687	1006	456
688	1008	455
689	1013	455
690	1014	453
691	1016	452
692	1017	450
693	1019	449
694	1021	448
695	1024	447
696	1025	445
697	1027	444
698	1028	442
699	1029	441
700	1030	439
701	1032	438
702	1033	436
703	1034	435
704	1037	433
705	1039	432
706	1041	431
707	1042	430
708	1044	428
709	1045	426
710	1046	425
711	1047	423
712	1050	422
713	1063	426
714	1066	425
715	1068	423
716	1069	422
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1074	413
722	1075	412
723	1077	410
724	1078	409
725	1080	407
726	1082	406
727	1084	405
728	1085	403
729	1086	401
730	1087	400
731	1088	398
732	1089	396
733	1090	395
734	1092	393
735	1093	392
736	1095	390
737	1096	389
738	1098	387
739	1099	386
740	1100	384
741	1101	382
742	1102	381
743	1103	379
744	1104	378
745	1105	376
746	1107	375
747	1108	373
748	1110	372
749	1111	370
750	1112	368
751	1114	367
752	1115	365
753	1116	364
754	1117	362
755	1118	361
756	1120	359
757	1121	358
758	1123	356
759	1124	355
760	1126	353
761	1127	352
762	1128	350
763	1129	348
764	1130	347
765	1131	345
766	1132	344
767	1133	342
768	1135	340
769	1136	339
770	1138	338
771	1140	336
772	1142	335
773	1143	333
774	1144	332
775	1145	330
776	1147	329
777	1148	327
778	1149	326
779	1150	324
780	1152	323
781	1155	322
782	1157	320
783	1158	319
784	1159	317
785	1160	316
786	1161	314
787	1162	312
788	1164	311
789	1165	309
790	1167	308
791	1168	306
792	1170	305
793	1171	304
794	1172	302
795	1173	300
796	1175	299
797	1176	297
798	1177	296
799	1178	294
800	1180	293
801	1182	291
802	1184	290
803	1185	289
804	1186	287
805	1187	285
806	1189	284
807	1190	282
808	1191	281
809	1193	279
810	1195	278
811	1198	277
812	1200	276
813	1201	274
814	1202	272
815	1203	271
816	1204	269
817	1205	268
818	1207	266
819	1208	265
820	1210	263
821	1212	262
822	1214	261
823	1215	259
824	1216	258
825	1217	256
826	1218	254
827	1220	253
828	1221	251
829	1222	250
830	1224	248
831	1226	247
832	1228	246
833	1229	244
834	1230	243
835	1231	241
836	1232	240
837	1233	238
838	1234	236
839	1236	235
840	1237	233
841	1239	232
842	1241	231
843	1242	229
844	1243	228
845	1244	226
846	1245	225
847	1246	223
848	1247	221
849	1248	220
850	1250	218
